case_study_id	conversation_source	principle	rater	tag	rating_human_expert	rating_autoeval_fitness_primary_c_high_var
FC40998	human_expert	important_domain_knowledge	fitness_secondary_a	health_metrics	5	3
FC40998	human_expert	important_interpretations	fitness_secondary_a	health_metrics	4	3
FC40998	human_expert	important_user_data	fitness_secondary_a	health_metrics	4	3
FC40998	human_expert	no_assumptions	fitness_secondary_a	health_metrics	5	5
FC40998	human_expert	no_hallucinations	fitness_secondary_a	health_metrics	5	5
FC40998	human_expert	no_incorrect_domain_knowledge	fitness_secondary_a	health_metrics	5	5
FC40998	human_expert	no_incorrect_important_interpretations	fitness_secondary_a	health_metrics	5	5
FC40998	human_expert	no_incorrect_unimportant_interpretations	fitness_secondary_a	health_metrics	5	5
FC40998	human_expert	no_incorrect_user_data	fitness_secondary_a	health_metrics	5	5
FC40998	human_expert	no_unimportant_domain_knowledge	fitness_secondary_a	health_metrics	5	5
FC40998	human_expert	no_unimportant_interpretations	fitness_secondary_a	health_metrics	5	4
FC40998	human_expert	no_unimportant_user_data	fitness_secondary_a	health_metrics	5	4
FC40998	human_expert	important_domain_knowledge	fitness_secondary_a	sleep	5	4
FC40998	human_expert	important_interpretations	fitness_secondary_a	sleep	5	4
FC40998	human_expert	important_user_data	fitness_secondary_a	sleep	5	4
FC40998	human_expert	no_assumptions	fitness_secondary_a	sleep	5	5
FC40998	human_expert	no_hallucinations	fitness_secondary_a	sleep	5	5
FC40998	human_expert	no_incorrect_domain_knowledge	fitness_secondary_a	sleep	5	5
FC40998	human_expert	no_incorrect_important_interpretations	fitness_secondary_a	sleep	5	5
FC40998	human_expert	no_incorrect_unimportant_interpretations	fitness_secondary_a	sleep	5	5
FC40998	human_expert	no_incorrect_user_data	fitness_secondary_a	sleep	5	5
FC40998	human_expert	no_unimportant_domain_knowledge	fitness_secondary_a	sleep	5	5
FC62257	human_expert	important_domain_knowledge	fitness_secondary_a	health_metrics	5	3
FC62257	human_expert	important_interpretations	fitness_secondary_a	health_metrics	5	3
FC62257	human_expert	important_user_data	fitness_secondary_a	health_metrics	5	3
FC62257	human_expert	no_assumptions	fitness_secondary_a	health_metrics	5	5
FC62257	human_expert	no_hallucinations	fitness_secondary_a	health_metrics	5	5
FC62257	human_expert	no_incorrect_domain_knowledge	fitness_secondary_a	health_metrics	5	5
FC62257	human_expert	no_incorrect_important_interpretations	fitness_secondary_a	health_metrics	5	5
FC62257	human_expert	no_incorrect_unimportant_interpretations	fitness_secondary_a	health_metrics	5	5
FC62257	human_expert	no_incorrect_user_data	fitness_secondary_a	health_metrics	5	5
FC62257	human_expert	no_unimportant_domain_knowledge	fitness_secondary_a	health_metrics	5	5
FC62257	human_expert	no_unimportant_interpretations	fitness_secondary_a	health_metrics	5	4
FC62257	human_expert	no_unimportant_user_data	fitness_secondary_a	health_metrics	5	4
FC62257	human_expert	important_domain_knowledge	fitness_secondary_a	sleep	5	4
FC62257	human_expert	important_interpretations	fitness_secondary_a	sleep	5	4
FC62257	human_expert	important_user_data	fitness_secondary_a	sleep	5	4
FC62257	human_expert	no_assumptions	fitness_secondary_a	sleep	5	5
FC62257	human_expert	no_hallucinations	fitness_secondary_a	sleep	5	5
FC62257	human_expert	no_incorrect_domain_knowledge	fitness_secondary_a	sleep	5	5
FC62257	human_expert	no_incorrect_important_interpretations	fitness_secondary_a	sleep	5	5
FC62257	human_expert	no_incorrect_unimportant_interpretations	fitness_secondary_a	sleep	5	5
FC62257	human_expert	no_incorrect_user_data	fitness_secondary_a	sleep	5	5
FC62257	human_expert	no_unimportant_domain_knowledge	fitness_secondary_a	sleep	5	5
FC76146	human_expert	important_domain_knowledge	fitness_secondary_a	health_metrics	5	3
FC76146	human_expert	important_interpretations	fitness_secondary_a	health_metrics	5	3
FC76146	human_expert	important_user_data	fitness_secondary_a	health_metrics	4	3
FC76146	human_expert	no_assumptions	fitness_secondary_a	health_metrics	5	5
FC76146	human_expert	no_hallucinations	fitness_secondary_a	health_metrics	5	5
FC76146	human_expert	no_incorrect_domain_knowledge	fitness_secondary_a	health_metrics	5	5
FC76146	human_expert	no_incorrect_important_interpretations	fitness_secondary_a	health_metrics	5	5
FC76146	human_expert	no_incorrect_unimportant_interpretations	fitness_secondary_a	health_metrics	5	5
FC76146	human_expert	no_incorrect_user_data	fitness_secondary_a	health_metrics	5	5
FC76146	human_expert	no_unimportant_domain_knowledge	fitness_secondary_a	health_metrics	5	5
FC76146	human_expert	no_unimportant_interpretations	fitness_secondary_a	health_metrics	5	4
FC76146	human_expert	no_unimportant_user_data	fitness_secondary_a	health_metrics	5	4
FC76146	human_expert	important_domain_knowledge	fitness_secondary_a	sleep	5	4
FC76146	human_expert	important_interpretations	fitness_secondary_a	sleep	5	4
FC76146	human_expert	important_user_data	fitness_secondary_a	sleep	4	4
FC76146	human_expert	no_assumptions	fitness_secondary_a	sleep	5	5
FC76146	human_expert	no_hallucinations	fitness_secondary_a	sleep	5	5
FC76146	human_expert	no_incorrect_domain_knowledge	fitness_secondary_a	sleep	5	5
FC76146	human_expert	no_incorrect_important_interpretations	fitness_secondary_a	sleep	5	5
FC76146	human_expert	no_incorrect_unimportant_interpretations	fitness_secondary_a	sleep	5	5
FC76146	human_expert	no_incorrect_user_data	fitness_secondary_a	sleep	5	5
FC76146	human_expert	no_unimportant_domain_knowledge	fitness_secondary_a	sleep	5	5
FC78859	human_expert	important_domain_knowledge	fitness_secondary_a	health_metrics	5	3
FC78859	human_expert	important_interpretations	fitness_secondary_a	health_metrics	5	3
FC78859	human_expert	important_user_data	fitness_secondary_a	health_metrics	4	3
FC78859	human_expert	no_assumptions	fitness_secondary_a	health_metrics	5	5
FC78859	human_expert	no_hallucinations	fitness_secondary_a	health_metrics	5	5
FC78859	human_expert	no_incorrect_domain_knowledge	fitness_secondary_a	health_metrics	5	5
FC78859	human_expert	no_incorrect_important_interpretations	fitness_secondary_a	health_metrics	5	5
FC78859	human_expert	no_incorrect_unimportant_interpretations	fitness_secondary_a	health_metrics	5	5
FC78859	human_expert	no_incorrect_user_data	fitness_secondary_a	health_metrics	4	5
FC78859	human_expert	no_unimportant_domain_knowledge	fitness_secondary_a	health_metrics	5	5
FC78859	human_expert	no_unimportant_interpretations	fitness_secondary_a	health_metrics	5	4
FC78859	human_expert	no_unimportant_user_data	fitness_secondary_a	health_metrics	5	4
FC78859	human_expert	important_domain_knowledge	fitness_secondary_a	sleep	5	4
FC78859	human_expert	important_interpretations	fitness_secondary_a	sleep	5	4
FC78859	human_expert	important_user_data	fitness_secondary_a	sleep	4	4
FC78859	human_expert	no_assumptions	fitness_secondary_a	sleep	5	5
FC78859	human_expert	no_hallucinations	fitness_secondary_a	sleep	5	5
FC78859	human_expert	no_incorrect_domain_knowledge	fitness_secondary_a	sleep	5	5
FC78859	human_expert	no_incorrect_important_interpretations	fitness_secondary_a	sleep	5	5
FC78859	human_expert	no_incorrect_unimportant_interpretations	fitness_secondary_a	sleep	5	5
FC78859	human_expert	no_incorrect_user_data	fitness_secondary_a	sleep	5	5
FC78859	human_expert	no_unimportant_domain_knowledge	fitness_secondary_a	sleep	5	5
FC40998	human_expert	no_unimportant_interpretations	fitness_secondary_a	sleep	5	5
FC40998	human_expert	no_unimportant_user_data	fitness_secondary_a	sleep	5	5
FC40998	human_expert	important_domain_knowledge	fitness_secondary_a	training_load	5	5
FC40998	human_expert	important_interpretations	fitness_secondary_a	training_load	5	4
FC40998	human_expert	important_user_data	fitness_secondary_a	training_load	5	4
FC40998	human_expert	no_assumptions	fitness_secondary_a	training_load	5	5
FC40998	human_expert	no_hallucinations	fitness_secondary_a	training_load	5	5
FC40998	human_expert	no_incorrect_domain_knowledge	fitness_secondary_a	training_load	5	5
FC40998	human_expert	no_incorrect_important_interpretations	fitness_secondary_a	training_load	5	5
FC40998	human_expert	no_incorrect_unimportant_interpretations	fitness_secondary_a	training_load	5	5
FC40998	human_expert	no_incorrect_user_data	fitness_secondary_a	training_load	5	5
FC40998	human_expert	no_unimportant_domain_knowledge	fitness_secondary_a	training_load	5	5
FC40998	human_expert	no_unimportant_interpretations	fitness_secondary_a	training_load	5	5
FC40998	human_expert	no_unimportant_user_data	fitness_secondary_a	training_load	5	5
FC40998	human_expert	important_domain_knowledge	fitness_secondary_a	assessment	5	4
FC40998	human_expert	important_interpretations	fitness_secondary_a	assessment	5	4
FC40998	human_expert	important_user_data	fitness_secondary_a	assessment	5	4
FC40998	human_expert	no_assumptions	fitness_secondary_a	assessment	5	5
FC40998	human_expert	no_hallucinations	fitness_secondary_a	assessment	5	5
FC40998	human_expert	no_incorrect_domain_knowledge	fitness_secondary_a	assessment	5	5
FC40998	human_expert	no_incorrect_important_interpretations	fitness_secondary_a	assessment	5	5
FC40998	human_expert	no_incorrect_unimportant_interpretations	fitness_secondary_a	assessment	5	5
FC62257	human_expert	no_unimportant_interpretations	fitness_secondary_a	sleep	5	5
FC62257	human_expert	no_unimportant_user_data	fitness_secondary_a	sleep	5	5
FC62257	human_expert	important_domain_knowledge	fitness_secondary_a	training_load	5	4
FC62257	human_expert	important_interpretations	fitness_secondary_a	training_load	5	4
FC62257	human_expert	important_user_data	fitness_secondary_a	training_load	5	4
FC62257	human_expert	no_assumptions	fitness_secondary_a	training_load	5	5
FC62257	human_expert	no_hallucinations	fitness_secondary_a	training_load	5	5
FC62257	human_expert	no_incorrect_domain_knowledge	fitness_secondary_a	training_load	5	5
FC62257	human_expert	no_incorrect_important_interpretations	fitness_secondary_a	training_load	5	5
FC62257	human_expert	no_incorrect_unimportant_interpretations	fitness_secondary_a	training_load	5	5
FC62257	human_expert	no_incorrect_user_data	fitness_secondary_a	training_load	5	5
FC62257	human_expert	no_unimportant_domain_knowledge	fitness_secondary_a	training_load	5	5
FC62257	human_expert	no_unimportant_interpretations	fitness_secondary_a	training_load	5	5
FC62257	human_expert	no_unimportant_user_data	fitness_secondary_a	training_load	5	5
FC62257	human_expert	important_domain_knowledge	fitness_secondary_a	assessment	5	4
FC62257	human_expert	important_interpretations	fitness_secondary_a	assessment	5	4
FC62257	human_expert	important_user_data	fitness_secondary_a	assessment	5	4
FC62257	human_expert	no_assumptions	fitness_secondary_a	assessment	5	5
FC62257	human_expert	no_hallucinations	fitness_secondary_a	assessment	5	5
FC62257	human_expert	no_incorrect_domain_knowledge	fitness_secondary_a	assessment	5	5
FC62257	human_expert	no_incorrect_important_interpretations	fitness_secondary_a	assessment	5	5
FC62257	human_expert	no_incorrect_unimportant_interpretations	fitness_secondary_a	assessment	5	5
FC76146	human_expert	no_unimportant_interpretations	fitness_secondary_a	sleep	5	5
FC76146	human_expert	no_unimportant_user_data	fitness_secondary_a	sleep	5	5
FC76146	human_expert	important_domain_knowledge	fitness_secondary_a	training_load	5	5
FC76146	human_expert	important_interpretations	fitness_secondary_a	training_load	5	5
FC76146	human_expert	important_user_data	fitness_secondary_a	training_load	5	4
FC76146	human_expert	no_assumptions	fitness_secondary_a	training_load	5	5
FC76146	human_expert	no_hallucinations	fitness_secondary_a	training_load	5	5
FC76146	human_expert	no_incorrect_domain_knowledge	fitness_secondary_a	training_load	5	5
FC76146	human_expert	no_incorrect_important_interpretations	fitness_secondary_a	training_load	5	5
FC76146	human_expert	no_incorrect_unimportant_interpretations	fitness_secondary_a	training_load	5	5
FC76146	human_expert	no_incorrect_user_data	fitness_secondary_a	training_load	5	5
FC76146	human_expert	no_unimportant_domain_knowledge	fitness_secondary_a	training_load	5	5
FC76146	human_expert	no_unimportant_interpretations	fitness_secondary_a	training_load	5	5
FC76146	human_expert	no_unimportant_user_data	fitness_secondary_a	training_load	5	5
FC76146	human_expert	important_domain_knowledge	fitness_secondary_a	assessment	5	4
FC76146	human_expert	important_interpretations	fitness_secondary_a	assessment	5	4
FC76146	human_expert	important_user_data	fitness_secondary_a	assessment	4	4
FC76146	human_expert	no_assumptions	fitness_secondary_a	assessment	5	5
FC76146	human_expert	no_hallucinations	fitness_secondary_a	assessment	5	5
FC76146	human_expert	no_incorrect_domain_knowledge	fitness_secondary_a	assessment	5	5
