case_study_id	rater	rater_type	tag	principle	conversation_source	rating	answer_time_min
FC22760	fitness_primary_c	primary	training_load	no_incorrect_important_interpretations	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	training_load	no_unimportant_domain_knowledge	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	sleep	no_hallucinations	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	overall	overall_quality	gemini_ultra	4	74.45
FC22760	fitness_primary_c	primary	training_load	important_user_data	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	sleep	no_unimportant_interpretations	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	sleep	no_assumptions	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	sleep	no_unimportant_user_data	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	sleep	important_domain_knowledge	gemini_ultra	4	74.45
FC22760	fitness_primary_c	primary	health_metrics	no_hallucinations	gemini_ultra	4	74.45
FC22760	fitness_primary_c	primary	assessment	no_incorrect_important_interpretations	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	sleep	no_incorrect_unimportant_interpretations	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	training_load	no_incorrect_domain_knowledge	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	assessment	important_interpretations	gemini_ultra	4	74.45
FC22760	fitness_primary_c	primary	sleep	no_incorrect_domain_knowledge	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	health_metrics	no_incorrect_domain_knowledge	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	sleep	important_user_data	gemini_ultra	4	74.45
FC22760	fitness_primary_c	primary	health_metrics	important_user_data	gemini_ultra	4	74.45
FC22760	fitness_primary_c	primary	sleep	no_incorrect_user_data	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	overall	non_harmful	gemini_ultra	4	74.45
FC22760	fitness_primary_c	primary	training_load	no_assumptions	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	assessment	important_user_data	gemini_ultra	4	74.45
FC22760	fitness_primary_c	primary	assessment	no_incorrect_user_data	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	health_metrics	no_unimportant_user_data	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	health_metrics	no_incorrect_important_interpretations	gemini_ultra	4	74.45
FC22760	fitness_primary_c	primary	health_metrics	important_domain_knowledge	gemini_ultra	4	74.45
FC22760	fitness_primary_c	primary	assessment	no_incorrect_unimportant_interpretations	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	assessment	no_unimportant_user_data	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	training_load	important_domain_knowledge	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	assessment	no_hallucinations	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	training_load	no_unimportant_interpretations	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	assessment	no_unimportant_interpretations	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	assessment	no_assumptions	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	sleep	no_unimportant_domain_knowledge	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	training_load	important_interpretations	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	health_metrics	no_incorrect_user_data	gemini_ultra	4	74.45
FC22760	fitness_primary_c	primary	assessment	no_incorrect_domain_knowledge	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	training_load	no_hallucinations	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	sleep	no_incorrect_important_interpretations	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	health_metrics	important_interpretations	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	assessment	important_domain_knowledge	gemini_ultra	4	74.45
FC22760	fitness_primary_c	primary	sleep	important_interpretations	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	overall	readable	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	training_load	no_unimportant_user_data	gemini_ultra	4	74.45
FC22760	fitness_primary_c	primary	assessment	no_unimportant_domain_knowledge	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	training_load	no_incorrect_user_data	gemini_ultra	4	74.45
FC22760	fitness_primary_c	primary	health_metrics	no_assumptions	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	health_metrics	no_unimportant_interpretations	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	training_load	no_incorrect_unimportant_interpretations	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	health_metrics	no_unimportant_domain_knowledge	gemini_ultra	5	74.45
FC22760	fitness_primary_c	primary	health_metrics	no_incorrect_unimportant_interpretations	gemini_ultra	5	74.45
FC17588	fitness_primary_c	primary	sleep	no_incorrect_domain_knowledge	phllm_early_checkpoint	4	126.9
FC17588	fitness_primary_c	primary	training_load	important_user_data	phllm_early_checkpoint	5	126.9
FC17588	fitness_primary_c	primary	training_load	no_incorrect_user_data	phllm_early_checkpoint	4	126.9
FC17588	fitness_primary_c	primary	health_metrics	no_assumptions	phllm_early_checkpoint	5	126.9
FC17588	fitness_primary_c	primary	sleep	no_unimportant_user_data	phllm_early_checkpoint	5	126.9
FC17588	fitness_primary_c	primary	health_metrics	no_incorrect_domain_knowledge	phllm_early_checkpoint	5	126.9
FC17588	fitness_primary_c	primary	health_metrics	no_hallucinations	phllm_early_checkpoint	5	126.9
FC17588	fitness_primary_c	primary	health_metrics	no_incorrect_unimportant_interpretations	phllm_early_checkpoint	5	126.9
FC17588	fitness_primary_c	primary	health_metrics	no_incorrect_user_data	phllm_early_checkpoint	5	126.9
FC17588	fitness_primary_c	primary	training_load	no_assumptions	phllm_early_checkpoint	5	126.9
FC17588	fitness_primary_c	primary	assessment	important_domain_knowledge	phllm_early_checkpoint	3	126.9
FC17588	fitness_primary_c	primary	overall	overall_quality	phllm_early_checkpoint	2	126.9
FC17588	fitness_primary_c	primary	overall	non_harmful	phllm_early_checkpoint	3	126.9
FC17588	fitness_primary_c	primary	health_metrics	important_interpretations	phllm_early_checkpoint	4	126.9
FC17588	fitness_primary_c	primary	sleep	no_incorrect_unimportant_interpretations	phllm_early_checkpoint	5	126.9
FC17588	fitness_primary_c	primary	training_load	important_interpretations	phllm_early_checkpoint	5	126.9
