case_study_id	rater	rater_type	tag	principle	conversation_source	rating	answer_time_min
SC44077	sleep_primary_a	primary	etiology	important_domain_knowledge	gemini_ultra	5	15.21666667
SC44077	sleep_secondary_a	secondary	etiology	important_domain_knowledge	gemini_ultra	4	344.2
SC44077	sleep_primary_a	primary	etiology	important_interpretations	gemini_ultra	4	15.21666667
SC44077	sleep_secondary_a	secondary	etiology	important_interpretations	gemini_ultra	4	344.2
SC44077	sleep_primary_a	primary	etiology	important_user_data	gemini_ultra	4	15.21666667
SC44077	sleep_secondary_a	secondary	etiology	important_user_data	gemini_ultra	4	344.2
SC44077	sleep_primary_a	primary	etiology	no_assumptions	gemini_ultra	5	15.21666667
SC44077	sleep_secondary_a	secondary	etiology	no_assumptions	gemini_ultra	4	344.2
SC44077	sleep_primary_a	primary	etiology	no_hallucinations	gemini_ultra	5	15.21666667
SC44077	sleep_secondary_a	secondary	etiology	no_hallucinations	gemini_ultra	5	344.2
SC44077	sleep_primary_a	primary	etiology	no_incorrect_domain_knowledge	gemini_ultra	5	15.21666667
SC44077	sleep_secondary_a	secondary	etiology	no_incorrect_domain_knowledge	gemini_ultra	5	344.2
SC44077	sleep_primary_a	primary	etiology	no_incorrect_important_interpretations	gemini_ultra	4	15.21666667
SC44077	sleep_secondary_a	secondary	etiology	no_incorrect_important_interpretations	gemini_ultra	3	344.2
SC44077	sleep_primary_a	primary	etiology	no_incorrect_unimportant_interpretations	gemini_ultra	5	15.21666667
SC44077	sleep_secondary_a	secondary	etiology	no_incorrect_unimportant_interpretations	gemini_ultra	5	344.2
SC44077	sleep_primary_a	primary	etiology	no_incorrect_user_data	gemini_ultra	5	15.21666667
SC44077	sleep_secondary_a	secondary	etiology	no_incorrect_user_data	gemini_ultra	5	344.2
SC44077	sleep_primary_a	primary	etiology	no_unimportant_domain_knowledge	gemini_ultra	4	15.21666667
SC44077	sleep_secondary_a	secondary	etiology	no_unimportant_domain_knowledge	gemini_ultra	4	344.2
SC44077	sleep_primary_a	primary	etiology	no_unimportant_interpretations	gemini_ultra	4	15.21666667
SC44077	sleep_secondary_a	secondary	etiology	no_unimportant_interpretations	gemini_ultra	4	344.2
SC44077	sleep_primary_a	primary	etiology	no_unimportant_user_data	gemini_ultra	5	15.21666667
SC44077	sleep_secondary_a	secondary	etiology	no_unimportant_user_data	gemini_ultra	5	344.2
SC44077	sleep_primary_a	primary	insights	important_domain_knowledge	gemini_ultra	5	15.21666667
SC44077	sleep_secondary_a	secondary	insights	important_domain_knowledge	gemini_ultra	4	344.2
SC44077	sleep_primary_a	primary	insights	important_interpretations	gemini_ultra	4	15.21666667
SC44077	sleep_secondary_a	secondary	insights	important_interpretations	gemini_ultra	4	344.2
SC44077	sleep_primary_a	primary	insights	important_user_data	gemini_ultra	4	15.21666667
SC44077	sleep_secondary_a	secondary	insights	important_user_data	gemini_ultra	4	344.2
SC44077	sleep_primary_a	primary	insights	no_assumptions	gemini_ultra	5	15.21666667
SC44077	sleep_secondary_a	secondary	insights	no_assumptions	gemini_ultra	5	344.2
SC44077	sleep_primary_a	primary	insights	no_hallucinations	gemini_ultra	5	15.21666667
SC44077	sleep_secondary_a	secondary	insights	no_hallucinations	gemini_ultra	4	344.2
SC44077	sleep_primary_a	primary	insights	no_incorrect_domain_knowledge	gemini_ultra	4	15.21666667
SC44077	sleep_secondary_a	secondary	insights	no_incorrect_domain_knowledge	gemini_ultra	4	344.2
SC44077	sleep_primary_a	primary	insights	no_incorrect_important_interpretations	gemini_ultra	4	15.21666667
SC44077	sleep_secondary_a	secondary	insights	no_incorrect_important_interpretations	gemini_ultra	2	344.2
SC44077	sleep_primary_a	primary	insights	no_incorrect_unimportant_interpretations	gemini_ultra	5	15.21666667
SC44077	sleep_secondary_a	secondary	insights	no_incorrect_unimportant_interpretations	gemini_ultra	5	344.2
SC44077	sleep_primary_a	primary	insights	no_incorrect_user_data	gemini_ultra	5	15.21666667
SC44077	sleep_secondary_a	secondary	insights	no_incorrect_user_data	gemini_ultra	5	344.2
SC44077	sleep_primary_a	primary	insights	no_unimportant_domain_knowledge	gemini_ultra	5	15.21666667
SC44077	sleep_secondary_a	secondary	insights	no_unimportant_domain_knowledge	gemini_ultra	5	344.2
SC44077	sleep_primary_a	primary	insights	no_unimportant_interpretations	gemini_ultra	5	15.21666667
SC44077	sleep_secondary_a	secondary	insights	no_unimportant_interpretations	gemini_ultra	5	344.2
SC44077	sleep_primary_a	primary	insights	no_unimportant_user_data	gemini_ultra	5	15.21666667
SC44077	sleep_secondary_a	secondary	insights	no_unimportant_user_data	gemini_ultra	5	344.2
SC44077	sleep_primary_a	primary	overall	non_harmful	gemini_ultra	5	15.21666667
SC44077	sleep_secondary_a	secondary	overall	non_harmful	gemini_ultra	2	344.2
